Soil_Type,PH_Level,Organic_Matter,Nitrogen_N,Phosphorus_P,Potassium_K,Moisture_Content,Compaction_Index,Conductivity,Soil_Quality_Score
Clayey,5.9,3.7,103,89,259,10,2,3.6,30
Black,4.7,6.9,184,67,93,86,2,0.5,38
Sandy,6.4,5.7,33,104,57,48,1,1.0,42
Loamy,4.9,5.9,69,70,235,79,1,2.3,44
Clayey,5.5,4.8,86,43,155,40,2,3.2,29
Black,5.8,7.2,57,76,25,18,3,4.5,19
Sandy,7.7,2.8,160,76,266,65,3,2.7,16
Loamy,8.0,3.7,149,46,216,27,3,4.7,14
Clayey,5.7,6.4,50,90,130,68,1,1.0,38
Black,7.9,4.4,166,95,57,76,2,3.2,26
Sandy,7.9,7.2,188,32,134,12,4,4.2,0
Loamy,7.6,3.4,137,123,204,39,3,1.2,50
Clayey,5.1,3.6,160,133,231,73,1,4.0,20
Black,7.3,7.2,40,95,274,79,5,2.1,28
Sandy,8.3,4.3,158,12,132,11,2,5.0,0
Loamy,7.2,4.6,33,125,289,29,3,0.5,44
Clayey,5.8,3.3,18,50,194,38,1,2.8,35
Black,6.5,2.9,159,28,38,18,5,3.9,17
Sandy,7.1,5.6,141,119,222,13,2,3.4,21
Loamy,6.5,1.8,86,123,145,49,4,2.6,41
Clayey,5.0,7.2,140,28,273,64,2,2.6,44
Black,5.7,6.5,129,26,274,22,2,2.1,54
Sandy,7.7,2.3,165,72,171,15,3,1.8,8
Loamy,7.9,5.9,99,140,218,82,2,3.0,35
Clayey,5.0,5.2,126,62,218,35,5,3.8,17
Black,8.3,2.3,119,19,194,50,5,1.5,28
Sandy,5.8,2.9,130,12,289,51,2,4.7,21
Loamy,7.1,3.9,107,39,199,87,2,1.9,53
Clayey,7.5,5.9,24,52,237,70,5,2.2,21
Black,7.7,5.5,145,100,137,71,5,2.1,22
Sandy,8.3,4.7,185,75,42,77,3,0.6,13
Loamy,5.8,6.4,61,48,144,30,4,0.7,55
Clayey,7.9,6.3,64,101,103,40,5,4.0,0
Black,5.0,5.3,46,39,218,52,4,2.0,45
Sandy,7.3,6.5,141,31,206,30,4,1.2,35
Loamy,7.5,3.3,64,74,111,38,5,3.6,18
Clayey,7.2,7.2,21,70,201,64,3,4.8,5
Black,5.5,5.3,156,75,246,67,2,4.7,38
Sandy,8.0,6.8,194,84,218,33,1,3.6,24
Loamy,5.2,4.8,46,33,254,54,2,1.0,60
Clayey,4.7,2.5,16,35,63,89,1,0.9,7
Black,7.4,4.8,64,72,95,18,5,4.4,0
Sandy,6.4,3.6,37,29,160,75,2,4.8,0
Loamy,7.9,5.9,46,121,201,11,2,3.1,29
Clayey,6.0,4.3,198,145,138,46,1,4.5,33
Black,5.2,6.9,84,85,59,46,3,4.1,26
Sandy,7.8,5.7,123,91,279,78,5,0.9,10
Loamy,6.7,5.8,176,139,263,55,5,1.2,55
Clayey,5.3,2.5,115,28,148,15,5,0.4,10
Black,7.4,7.9,160,5,25,57,2,2.4,54
Sandy,6.5,6.9,189,115,85,17,4,1.7,28
Loamy,6.9,6.5,119,51,238,41,1,2.2,73
Clayey,6.3,3.3,93,40,165,86,2,0.1,36
Black,7.8,4.7,20,46,253,76,3,3.6,11
Sandy,7.8,2.0,75,80,48,82,3,1.1,0
Loamy,7.3,4.8,22,94,180,77,2,1.9,45
Clayey,4.9,2.0,178,93,150,37,1,2.1,28
Black,7.9,4.9,186,72,167,49,5,0.4,37
Sandy,7.2,5.5,24,74,101,25,5,1.9,1
Loamy,7.3,3.7,65,114,102,66,4,4.5,16
Clayey,6.0,4.5,191,130,92,84,2,4.5,18
Black,8.0,7.1,168,145,233,64,4,0.2,45
Sandy,7.4,1.8,198,99,45,48,3,0.2,23
Loamy,5.0,6.5,195,26,90,85,5,3.0,28
Clayey,6.1,2.2,197,25,196,64,5,1.1,33
Black,8.0,1.3,62,147,108,39,4,4.5,0
Sandy,4.7,2.3,70,49,196,51,2,2.5,10
Loamy,8.3,6.4,137,115,46,14,4,1.7,33
Clayey,7.2,3.8,51,76,82,54,3,4.8,0
Black,7.0,7.1,38,120,38,73,2,1.7,37
Sandy,5.6,4.7,164,15,297,41,3,1.7,40
Loamy,5.5,1.2,53,92,86,21,2,0.8,32
Clayey,8.3,6.0,142,140,257,75,4,1.2,20
Black,5.7,1.8,189,58,156,61,1,3.8,39
Sandy,7.6,6.5,122,133,182,80,4,3.8,0
Loamy,6.1,2.2,115,24,47,41,2,2.0,64
Clayey,5.1,3.4,190,104,275,44,3,1.8,40
Black,4.5,6.3,189,38,131,15,4,2.2,26
Sandy,6.7,7.7,47,61,259,31,2,1.6,35
Loamy,8.4,3.6,181,145,262,56,3,3.1,39
Clayey,6.0,6.8,190,129,172,22,3,4.2,20
Black,5.9,2.3,124,57,284,32,3,0.1,61
Sandy,5.9,6.7,139,56,71,53,2,4.7,21
Loamy,6.6,5.6,118,138,284,18,3,0.7,55
Clayey,6.3,2.3,191,40,73,68,3,4.5,14
Black,8.0,3.1,93,95,152,39,4,1.2,31
Sandy,6.5,1.9,172,99,210,53,3,4.6,14
Loamy,6.5,3.7,55,7,143,58,1,4.0,45
Clayey,5.1,2.4,101,32,237,25,2,1.4,32
Black,8.4,5.5,114,126,90,83,3,0.2,33
Sandy,5.5,8.0,192,38,233,62,3,3.6,24
Loamy,4.8,1.1,81,88,52,11,5,4.1,0
Clayey,7.2,4.8,148,145,190,76,4,3.4,13
Black,6.9,5.0,38,115,256,51,3,2.0,49
Sandy,6.2,7.4,56,9,121,73,4,0.7,19
Loamy,6.2,4.5,120,132,29,17,4,1.8,53
Clayey,7.6,4.8,16,92,60,82,1,1.4,15
Black,5.3,4.3,126,119,145,30,2,3.6,42
Sandy,7.8,2.9,73,106,292,69,1,0.9,26
Loamy,7.1,1.4,91,21,30,43,2,4.1,26
Clayey,6.2,3.9,73,35,214,13,5,3.1,13
Black,6.3,1.4,101,96,39,71,1,2.5,47
Sandy,5.5,4.9,21,108,292,85,4,1.9,13
Loamy,7.5,3.2,21,97,254,11,3,2.6,31
Clayey,6.6,4.7,45,136,246,59,5,2.7,18
Black,5.8,1.9,38,86,246,85,2,1.3,44
Sandy,6.9,7.5,148,59,291,35,1,4.9,20
Loamy,8.5,7.3,190,77,298,46,5,4.6,19
Clayey,6.2,2.3,94,51,143,64,1,2.0,44
Black,8.2,3.4,83,148,214,27,4,1.3,24
Sandy,5.9,5.3,56,98,90,33,1,1.6,44
Loamy,4.7,1.7,170,71,251,39,2,4.9,21
Clayey,5.3,3.5,90,101,192,26,2,2.1,25
Black,6.2,2.8,130,124,222,89,3,4.6,27
Sandy,5.4,7.4,52,146,52,51,3,0.4,24
Loamy,4.5,7.0,155,138,230,21,2,3.9,31
Clayey,8.2,5.1,83,41,201,36,2,3.8,16
Black,7.9,4.6,62,114,260,64,2,3.3,34
Sandy,7.5,7.5,48,82,70,13,5,0.7,3
Loamy,5.2,7.5,116,122,48,44,1,4.9,39
Clayey,5.0,7.8,171,46,25,74,5,1.1,18
Black,4.8,1.9,46,78,152,85,4,3.6,0
Sandy,7.4,2.1,178,129,115,38,3,3.8,6
Loamy,8.2,5.7,106,64,101,81,1,3.8,30
Clayey,6.2,4.8,58,68,296,81,3,4.1,15
Black,5.0,1.1,137,62,236,85,4,4.9,4
Sandy,6.5,1.4,19,6,299,45,2,0.6,31
Loamy,5.9,7.2,49,82,150,43,3,2.4,54
Clayey,6.0,7.1,155,75,105,45,2,4.9,23
Black,7.0,3.5,162,124,112,64,3,4.4,24
Sandy,7.4,7.2,115,12,90,13,4,5.0,0
Loamy,4.9,5.2,50,17,210,20,3,3.0,25
Clayey,4.6,6.6,173,43,233,68,4,3.4,16
Black,8.5,4.0,11,106,66,12,1,1.4,27
Sandy,5.4,1.8,186,85,237,83,5,2.3,7
Loamy,4.7,4.0,62,10,108,21,4,0.2,22
Clayey,5.3,4.2,156,23,294,82,3,3.6,19
Black,4.7,4.9,35,135,246,30,1,4.6,23
Sandy,6.1,1.7,63,109,236,31,4,0.6,27
Loamy,7.7,7.9,60,57,259,27,3,2.3,33
Clayey,5.9,2.7,162,32,189,15,4,3.2,18
Black,6.3,2.4,123,51,251,88,4,3.2,35
Sandy,7.2,4.7,26,140,127,74,2,1.6,16
Loamy,6.5,4.8,129,61,252,64,3,0.2,75
Clayey,7.9,4.1,198,59,189,49,5,4.5,0
Black,8.0,6.4,55,83,154,61,4,0.5,33
Sandy,4.5,4.6,64,5,150,53,1,1.0,25
Loamy,7.6,5.3,59,27,56,71,3,4.8,1
Clayey,6.3,6.1,84,46,278,83,5,2.6,23
Black,8.5,1.2,20,8,143,38,3,4.4,0
Sandy,6.4,5.0,149,12,282,28,5,4.5,5
Loamy,8.4,7.2,177,14,236,37,5,4.9,15
Clayey,7.5,1.1,57,120,189,28,4,0.3,6
Black,5.5,3.8,130,104,117,40,2,0.4,54
Sandy,6.7,7.5,65,20,205,63,3,1.0,32
Loamy,8.5,3.5,17,68,232,71,1,3.3,24
Clayey,7.9,4.2,23,112,251,23,1,1.4,23
Black,4.9,7.9,123,125,186,59,2,2.5,47
Sandy,7.3,2.4,193,143,180,68,1,4.0,19
Loamy,5.9,1.5,63,59,203,79,3,1.0,46
Clayey,4.5,7.0,26,87,44,67,1,1.5,26
Black,6.1,7.1,182,8,161,18,3,3.7,40
Sandy,5.4,4.3,142,48,202,66,5,0.1,30
Loamy,7.8,4.6,140,52,103,50,4,3.8,25
Clayey,5.8,6.9,18,103,250,36,2,3.4,33
Black,7.8,6.2,131,102,242,67,2,0.7,55
Sandy,4.5,2.9,123,30,177,77,1,1.3,20
Loamy,5.7,1.1,29,107,204,67,3,0.2,41
Clayey,5.5,4.4,92,101,202,33,4,2.9,26
Black,5.4,7.0,30,16,104,89,1,2.0,41
Sandy,4.8,7.3,42,49,84,71,4,2.2,0
Loamy,5.2,7.7,142,140,71,76,3,0.6,48
Clayey,6.7,7.2,161,13,22,12,1,1.8,38
Black,5.7,5.1,35,5,96,60,1,4.6,26
Sandy,6.2,4.1,117,137,154,76,4,0.4,32
Loamy,6.0,6.4,98,75,89,89,1,4.9,34
Clayey,8.0,6.2,101,58,181,66,4,4.3,4
Black,8.1,4.8,42,108,115,29,3,1.1,23
Sandy,6.5,1.6,27,14,35,54,4,3.6,0
Loamy,5.8,7.5,27,44,249,15,3,0.5,53
Clayey,4.9,4.2,175,48,286,42,3,0.9,35
Black,8.3,3.5,42,116,25,52,5,2.5,13
Sandy,4.7,5.4,36,16,129,59,4,2.1,5
Loamy,5.7,5.7,58,26,162,36,2,4.1,37
Clayey,5.7,2.5,187,86,174,39,5,4.7,0
Black,5.8,6.9,152,146,226,27,5,4.7,23
Sandy,5.2,3.0,117,56,185,39,4,0.8,26
Loamy,7.6,2.3,189,116,279,24,5,3.5,11
Clayey,5.0,3.8,77,122,192,85,5,2.9,2
Black,7.0,6.1,108,63,140,71,1,1.9,53
Sandy,5.0,7.8,28,42,159,30,3,5.0,0
Loamy,4.8,6.7,34,24,187,21,2,2.3,33
Clayey,8.1,7.6,113,82,103,58,4,3.4,9
Black,5.3,2.0,85,24,213,10,1,2.6,39
Sandy,7.8,1.5,85,105,295,84,2,0.6,8
Loamy,6.7,4.9,115,114,287,64,2,0.8,70
Clayey,4.8,3.0,162,34,57,34,1,3.8,14
Black,8.3,6.8,42,111,261,56,4,4.0,15
Sandy,5.5,5.7,197,45,218,82,3,1.9,30
Loamy,7.9,7.8,46,88,24,48,1,0.4,48
Clayey,5.2,2.8,101,75,122,36,5,4.8,0
Black,7.9,4.4,133,67,157,59,2,2.5,47
Sandy,4.6,4.5,52,99,85,64,5,0.8,4
Loamy,6.5,2.7,135,33,86,37,4,1.1,56
Clayey,7.6,5.1,18,81,289,66,3,0.3,22
Black,8.2,4.1,23,83,66,88,3,3.6,5
Sandy,8.1,4.1,140,87,199,25,3,3.6,1
Loamy,7.8,3.5,78,61,87,65,5,3.1,15
Clayey,8.1,1.1,193,21,134,44,4,2.8,3
Black,5.3,4.7,35,116,45,37,5,2.0,32
Sandy,5.6,3.3,136,136,66,55,2,4.8,4
Loamy,5.7,1.0,62,10,226,76,3,4.0,15
Clayey,6.0,3.2,50,97,92,25,4,4.5,0
Black,6.1,3.0,91,79,278,88,5,1.6,39
Sandy,6.7,3.8,111,143,49,83,5,4.9,0
Loamy,5.1,1.9,30,52,22,58,5,0.9,26
Clayey,7.3,4.6,130,50,28,77,5,0.4,18
Black,5.2,5.8,48,90,27,31,5,1.7,33
Sandy,5.7,5.4,160,96,28,27,2,1.1,28
Loamy,6.5,6.6,195,63,171,31,3,2.6,66
Clayey,7.7,4.2,78,128,161,25,5,1.8,5
Black,7.5,4.6,84,87,293,65,2,0.9,59
Sandy,7.1,6.7,166,149,46,12,4,4.2,0
Loamy,5.1,4.0,71,54,90,62,4,2.6,37
Clayey,6.7,5.9,190,104,238,44,2,0.6,50
Black,4.8,4.0,54,91,275,89,2,0.5,33
Sandy,6.0,3.9,36,118,122,30,2,2.0,33
Loamy,6.2,6.3,125,143,166,74,4,4.5,32
Clayey,4.7,2.2,171,126,177,66,5,2.6,7
Black,5.6,3.4,151,18,159,56,3,0.8,52
Sandy,8.3,2.6,50,17,162,43,5,1.3,0
Loamy,8.3,3.5,115,92,128,57,1,0.3,53
Clayey,5.9,2.6,83,84,83,48,2,4.2,17
Black,4.7,5.1,69,67,290,39,5,4.7,5
Sandy,5.2,6.6,51,107,205,59,3,0.5,31
Loamy,6.1,6.5,131,110,20,25,5,0.9,48
Clayey,8.3,3.6,188,21,26,12,1,0.9,23
Black,5.1,7.9,20,54,20,70,1,4.0,30
Sandy,7.6,5.2,172,139,280,11,5,4.2,0
Loamy,4.9,3.8,156,127,66,35,3,2.2,42
Clayey,8.4,6.8,127,83,285,27,5,4.8,0
Black,6.0,6.1,74,20,21,75,2,1.4,51
Sandy,7.6,6.2,198,21,42,49,3,2.7,15
Loamy,5.9,2.4,56,94,103,12,4,5.0,6
Clayey,7.0,4.3,23,88,223,26,3,4.2,1
Black,5.3,7.0,76,88,246,33,5,2.5,38
Sandy,5.1,4.5,189,13,271,11,5,0.6,20
Loamy,8.3,5.8,118,22,170,79,4,4.5,12
Clayey,8.2,5.1,169,79,266,49,1,2.8,37
Black,8.0,6.9,19,76,36,35,5,1.6,20
Sandy,7.0,3.0,133,95,21,66,1,2.3,34
Loamy,7.7,5.0,26,70,216,58,1,1.6,53
Clayey,4.8,1.9,177,27,288,66,2,2.8,22
Black,5.8,5.8,152,142,80,65,1,1.4,73
Sandy,5.8,6.1,106,42,286,79,3,2.3,37
Loamy,7.0,1.3,176,132,116,85,1,2.2,44
Clayey,5.9,5.7,66,63,266,30,2,3.1,41
Black,5.1,3.9,147,72,54,25,5,0.2,29
Sandy,6.9,1.9,80,89,293,15,5,3.0,0
Loamy,7.8,3.9,106,123,87,43,4,3.0,29
Clayey,6.0,2.4,26,16,208,68,1,2.0,45
Black,5.0,3.9,85,116,60,76,3,1.3,33
Sandy,5.3,3.7,26,120,115,50,4,4.2,0
Loamy,5.4,6.2,120,146,190,28,4,1.8,47
Clayey,5.7,6.4,129,56,86,38,2,1.6,43
Black,7.1,5.2,153,88,138,41,5,2.4,39
Sandy,6.9,1.2,128,115,190,19,1,1.5,25
Loamy,7.3,7.5,87,65,205,73,1,4.2,37
Clayey,6.0,5.8,12,25,89,86,5,2.9,6
Black,7.8,1.2,117,60,264,29,2,3.8,15
Sandy,5.3,6.7,60,39,178,37,2,3.8,15
Loamy,6.4,2.4,123,48,126,36,2,4.0,45
Clayey,7.7,5.1,103,43,55,86,3,4.4,0
Black,5.2,4.3,183,147,214,34,1,4.6,44
Sandy,4.9,3.9,125,144,287,38,2,2.0,31
Loamy,8.0,7.2,192,121,95,24,2,2.3,40
Clayey,5.9,4.1,114,12,299,54,5,0.3,45
Black,7.2,1.5,108,128,99,54,4,4.6,11
Sandy,4.6,7.6,163,105,117,39,4,3.0,8
Loamy,7.3,7.4,85,71,137,47,4,3.6,31
Clayey,5.8,5.8,168,98,242,69,1,2.2,63
Black,4.7,4.3,90,97,271,41,3,2.4,40
Sandy,6.9,1.7,81,133,99,59,1,2.8,19
Loamy,5.5,6.5,156,84,189,80,5,4.0,22
Clayey,6.0,1.5,152,46,176,44,2,3.1,35
Black,4.8,1.5,120,35,21,85,1,4.1,11
Sandy,5.1,4.8,67,126,222,14,4,1.2,17
Loamy,5.7,2.1,87,78,277,40,3,1.1,50
Clayey,4.9,1.1,167,47,270,89,5,1.1,3
Black,8.1,4.0,57,30,165,62,2,0.1,40
Sandy,4.5,2.0,65,16,294,10,3,1.0,3
Loamy,6.4,2.1,51,131,38,78,1,0.7,50
Clayey,5.0,1.5,33,108,271,77,1,2.3,20
Black,5.7,2.4,119,73,69,74,3,0.7,35
Sandy,8.2,6.0,61,77,156,24,3,2.1,8
Loamy,5.1,6.7,180,15,245,61,2,5.0,40
Clayey,8.4,4.2,43,51,240,47,4,2.6,14
Black,5.3,4.5,197,27,132,33,3,4.6,27
Sandy,7.5,1.2,12,85,168,32,2,3.5,2
Loamy,6.7,1.5,77,81,67,56,3,4.5,15
Clayey,8.0,2.8,148,127,77,16,3,3.2,0
Black,6.7,4.8,150,77,216,40,4,4.1,34
Sandy,6.6,6.2,59,59,244,16,2,1.6,26
Loamy,5.3,5.2,91,22,156,86,1,1.9,57
Clayey,5.2,3.7,28,98,214,13,2,4.8,0
Black,8.2,1.8,53,22,225,63,2,1.4,36
Sandy,5.8,6.5,170,132,37,89,2,2.2,36
Loamy,6.0,3.5,175,45,287,61,4,3.3,52
Clayey,7.5,6.2,12,37,234,89,4,2.0,17
Black,5.9,4.6,122,47,225,57,5,0.2,60
Sandy,8.3,6.2,74,18,143,75,1,4.0,0
Loamy,7.5,7.4,172,62,35,63,4,1.7,53
Clayey,6.9,7.4,173,142,184,89,4,1.2,27
Black,8.0,4.7,175,32,167,63,2,2.6,46
Sandy,4.7,4.6,48,18,295,54,2,0.1,25
Loamy,5.5,2.9,162,78,252,49,3,4.3,35
Clayey,6.4,7.6,73,149,44,44,3,1.4,41
Black,5.4,4.2,113,18,287,33,3,4.6,34
Sandy,7.5,1.9,22,28,90,44,4,3.4,0
Loamy,8.2,4.0,77,108,219,46,3,2.8,37
Clayey,6.2,1.9,79,74,66,84,1,4.1,10
Black,5.9,4.5,84,24,44,43,3,5.0,27
Sandy,8.3,4.9,10,125,232,33,5,1.3,6
Loamy,6.3,3.4,191,38,52,13,5,1.8,43
Clayey,6.5,1.5,107,75,233,59,2,2.5,44
Black,5.9,7.6,113,37,230,87,4,2.7,48
Sandy,8.1,6.4,125,10,48,33,5,2.8,5
Loamy,6.8,6.9,146,20,278,45,1,2.8,67
Clayey,7.5,3.6,173,113,58,88,2,4.2,6
Black,7.7,6.3,122,27,279,44,5,2.1,39
Sandy,5.9,4.4,112,18,184,38,3,0.2,47
Loamy,6.2,2.4,46,54,114,45,5,4.4,16
Clayey,7.9,1.9,115,65,239,77,5,3.3,0
Black,6.0,3.4,196,40,287,88,2,1.0,60
Sandy,7.7,2.0,117,19,137,20,4,0.2,0
Loamy,8.3,8.0,30,9,85,64,3,1.6,36
Clayey,7.0,1.3,157,57,212,58,3,0.7,33
Black,7.5,4.1,138,52,54,88,3,4.5,18
Sandy,7.7,4.2,196,15,194,66,3,1.5,27
Loamy,7.9,3.1,37,6,131,64,4,3.6,10
Clayey,6.1,5.0,193,91,99,65,3,3.3,35
Black,4.7,2.0,117,28,130,83,4,3.6,3
Sandy,6.1,6.5,18,72,111,13,2,2.7,18
Loamy,7.2,3.3,173,83,205,34,1,3.7,52
Clayey,6.3,5.1,171,16,60,11,4,2.6,27
Black,7.5,6.0,41,71,106,28,3,2.0,33
Sandy,5.9,7.2,75,40,243,17,2,4.3,15
Loamy,7.0,6.9,109,116,70,73,2,2.3,50
Clayey,5.2,5.3,162,126,145,15,5,2.9,9
Black,7.5,3.7,188,141,165,23,5,2.4,29
Sandy,6.7,4.5,182,48,60,79,1,3.9,14
Loamy,5.3,6.4,163,63,43,85,1,2.7,51
Clayey,5.7,7.1,30,131,55,80,5,2.4,2
Black,7.5,1.7,91,67,296,66,5,1.4,35
Sandy,6.4,3.7,188,45,203,39,2,4.6,25
Loamy,5.4,6.4,33,80,173,89,4,4.3,13
Clayey,8.4,4.0,120,111,201,17,5,2.2,9
Black,7.4,3.3,101,134,173,23,3,3.3,28
Sandy,8.3,3.9,21,99,169,57,4,2.6,0
Loamy,6.2,5.2,148,32,21,37,4,1.0,63
Clayey,6.4,8.0,164,148,73,15,3,1.9,38
Black,8.1,4.5,32,63,265,39,3,4.3,16
Sandy,6.6,2.5,170,133,65,13,3,4.0,0
Loamy,7.3,2.1,101,90,94,76,2,0.6,44
Clayey,5.5,1.3,175,5,168,19,5,0.5,10
Black,6.3,4.9,192,35,22,36,5,4.3,30
Sandy,5.0,4.8,179,26,28,54,2,4.5,13
Loamy,5.3,2.4,132,123,21,84,4,1.5,35
Clayey,4.5,5.9,166,32,257,44,2,1.8,40
Black,4.7,6.2,43,120,47,22,5,1.7,13
Sandy,8.4,2.8,134,80,200,64,1,0.7,30
Loamy,5.5,3.4,66,31,285,52,2,3.8,39
Clayey,7.2,7.9,12,91,102,82,1,1.9,25
Black,7.9,3.6,15,133,272,77,1,4.2,10
Sandy,6.7,6.3,57,128,277,52,3,4.4,6
Loamy,5.1,4.2,111,111,67,49,3,4.6,32
Clayey,7.4,6.6,129,134,153,40,3,4.1,21
Black,6.9,6.4,22,99,218,12,1,4.0,28
Sandy,7.4,5.7,45,70,155,26,5,2.3,4
Loamy,7.6,7.0,79,23,102,89,3,0.2,31
Clayey,8.4,7.6,42,23,285,48,3,0.6,25
Black,6.8,5.1,114,131,238,75,4,2.7,38
Sandy,5.9,2.7,66,120,38,78,1,1.9,28
Loamy,7.1,3.8,64,68,37,86,1,4.2,24
Clayey,4.8,6.3,116,62,198,85,3,2.9,13
Black,8.1,5.6,150,21,42,28,4,0.6,28
Sandy,5.0,2.2,60,83,263,31,4,2.4,13
Loamy,5.8,1.4,101,45,126,17,2,4.1,31
Clayey,7.8,5.8,62,9,150,77,2,4.3,0
Black,6.9,2.8,45,27,29,80,3,0.9,26
Sandy,6.1,4.5,142,130,218,27,1,0.6,50
Loamy,6.4,6.2,128,14,109,15,4,2.0,53
Clayey,7.9,4.9,34,72,163,13,4,0.4,6
Black,5.9,1.6,90,144,128,50,4,3.7,24
Sandy,8.0,2.3,46,115,223,60,1,2.3,18
Loamy,4.9,2.5,28,142,63,21,2,1.1,23
Clayey,7.6,2.8,44,64,27,46,3,0.6,11
Black,7.9,5.0,116,131,172,11,2,4.6,16
Sandy,5.2,4.5,171,34,36,12,4,0.3,18
Loamy,6.2,2.4,63,118,256,54,4,0.6,54
Clayey,5.2,1.5,183,73,75,48,1,1.2,37
Black,7.3,2.2,15,17,63,86,1,0.6,31
Sandy,6.6,7.9,138,13,260,63,1,3.3,37
Loamy,7.0,4.3,43,136,58,87,3,1.2,38
Clayey,5.3,7.1,65,30,149,27,5,2.5,5
Black,5.3,6.9,106,129,117,22,5,4.3,10
Sandy,4.7,4.6,35,48,99,23,3,4.1,0
Loamy,5.8,5.9,179,14,253,50,3,0.8,75
Clayey,6.7,2.3,100,109,188,49,3,0.5,28
Black,7.9,5.8,47,110,98,80,2,3.4,14
Sandy,7.2,2.9,163,5,90,57,3,1.1,26
Loamy,6.2,6.8,68,148,282,19,2,3.9,43
Clayey,8.3,1.6,136,50,219,63,1,2.2,32
Black,7.4,6.4,33,145,230,44,4,0.9,44
Sandy,8.2,1.7,120,68,37,33,5,4.9,0
Loamy,6.6,7.2,30,82,292,58,4,0.4,48
Clayey,5.5,3.1,69,91,229,51,5,0.7,21
Black,4.7,5.6,99,67,136,84,1,4.1,17
Sandy,7.4,4.4,157,65,123,83,5,2.3,10
Loamy,5.0,3.6,15,96,96,59,1,4.7,23
Clayey,5.7,5.5,19,127,30,30,4,0.7,20
Black,6.6,7.6,149,24,70,37,2,0.9,58
Sandy,6.8,1.3,106,68,26,64,5,0.1,11
Loamy,6.9,7.4,159,80,56,36,3,1.2,58
Clayey,5.2,5.3,199,111,280,77,2,3.3,27
Black,6.0,6.7,198,145,81,15,2,3.6,42
Sandy,7.0,3.7,89,61,219,67,1,2.2,38
Loamy,8.4,4.3,26,49,109,15,4,1.4,21
Clayey,7.4,7.1,147,124,98,69,3,3.6,22
Black,8.2,3.9,149,90,74,28,4,0.9,24
Sandy,7.5,4.7,92,42,240,70,4,3.9,11
Loamy,6.9,1.1,49,71,111,26,2,4.0,11
Clayey,5.3,2.1,160,125,93,58,3,2.3,26
Black,7.2,5.5,177,130,75,12,5,1.0,33
Sandy,7.0,6.0,83,15,251,43,3,3.2,22
Loamy,6.9,5.1,83,102,198,71,1,4.3,33
Clayey,6.5,2.0,59,91,80,69,2,2.7,28
Black,6.6,4.1,19,149,136,77,3,2.4,26
Sandy,5.8,3.5,112,126,97,43,1,4.9,19
Loamy,6.6,4.5,103,102,255,38,5,2.7,48
Clayey,5.3,7.1,141,37,52,69,4,0.3,33
Black,7.7,6.4,138,137,74,53,4,2.6,32
Sandy,5.2,1.6,52,127,262,24,1,2.3,17
Loamy,4.8,7.2,92,85,293,54,2,1.5,55
Clayey,6.2,4.3,142,66,93,84,4,1.7,33
Black,7.1,6.2,113,69,40,18,2,4.7,21
Sandy,6.3,2.0,43,129,220,44,2,0.8,36
Loamy,5.6,5.7,33,94,173,19,4,3.8,18
Clayey,6.7,2.7,151,48,273,47,5,4.5,3
Black,5.9,4.1,50,125,226,38,3,1.4,60
Sandy,8.2,1.1,179,146,168,55,4,0.4,10
Loamy,8.2,2.1,22,95,202,79,3,1.6,24
Clayey,6.5,1.6,166,61,280,82,2,2.2,37
Black,5.8,2.7,183,52,63,54,5,4.8,18
Sandy,7.4,1.7,171,149,163,86,2,2.2,20
Loamy,4.6,5.8,141,48,263,62,5,0.6,45
Clayey,6.4,1.2,37,136,24,11,1,0.8,25
Black,5.8,5.3,92,85,81,13,5,1.8,38
Sandy,8.2,2.0,138,101,45,80,5,1.0,0
Loamy,4.5,7.6,173,34,203,28,2,0.4,50
Clayey,6.7,7.5,116,125,55,20,4,1.0,23
Black,7.5,2.6,22,89,49,41,4,0.6,28
Sandy,6.4,5.3,123,88,88,23,3,1.1,33
Loamy,4.8,1.2,115,102,251,58,1,5.0,23
Clayey,8.4,7.5,14,96,195,78,5,2.3,0
Black,6.6,4.7,106,77,297,34,3,3.3,47
Sandy,7.0,1.3,23,35,52,23,5,0.9,0
Loamy,5.4,3.4,89,113,88,48,5,4.3,14
Clayey,6.4,1.5,129,20,274,21,1,1.4,44
Black,6.2,3.8,169,99,69,58,1,4.9,40
Sandy,4.8,5.7,187,81,42,27,3,4.2,0
Loamy,4.9,4.3,164,146,273,10,4,4.8,12
Clayey,7.8,3.7,44,6,183,13,5,3.4,0
Black,5.5,1.8,12,144,292,21,2,3.3,19
Sandy,5.3,2.7,13,132,200,35,3,4.2,0
Loamy,6.5,1.7,144,96,269,41,5,3.6,39
Clayey,7.6,6.7,140,28,256,88,1,3.1,24
Black,4.7,1.9,90,41,251,61,1,1.9,44
Sandy,6.8,5.2,120,33,141,24,1,1.2,33
Loamy,5.0,3.4,68,46,261,17,1,3.9,33
Clayey,4.6,2.6,83,22,153,39,4,2.0,13
Black,4.7,5.5,138,135,90,63,4,0.4,38
Sandy,7.8,4.2,165,17,298,76,5,2.5,5
Loamy,5.0,3.8,68,110,238,79,5,3.3,20
Clayey,4.7,5.1,127,63,204,17,3,0.2,25
Black,6.3,4.4,190,96,236,72,1,3.6,54
Sandy,7.9,3.1,147,8,144,26,1,1.2,17
Loamy,5.5,4.9,112,55,198,25,2,1.2,57
